,code,year,period,id,Country,tourists,venue,rate,food,glass,metal,other,paper,plastic,leather,green_waste,waste_recycling
5441,CAS_7723-14-0,2008,2008-01--2008-12,FRER36,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5442,CAS_14265-44-2,2008,2008-01--2008-12,FRER33,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5453,CAS_7723-14-0,2008,2008-01--2008-12,FRER33,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5455,CAS_7723-14-0,2008,2008-01--2008-12,FRER16,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5463,CAS_7723-14-0,2008,2008-01--2008-12,FI81_064_001,Finland,2147000.0,0.0,0.0,35.88,9.24,1.7,13.13,37.83,1.45,0.0,0.0,28.12
5465,CAS_14265-44-2,2008,2008-01--2008-12,FRFR157A,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5466,CAS_7723-14-0,2008,2008-01--2008-12,FRFR157A,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5493,CAS_7723-14-0,2008,2008-01--2008-12,FRDR179,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5498,CAS_7723-14-0,2008,2008-01--2008-12,FRDR174,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5499,CAS_14265-44-2,2008,2008-01--2008-12,IEWE_30C011300,Ireland,6942807.0,0.0,0.0,16.6,8.5,3.7,25.8,25.0,12.4,0.0,6.1,33.0
5501,CAS_14265-44-2,2008,2008-01--2008-12,FRDR171,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5503,CAS_7723-14-0,2008,2008-01--2008-12,FRDR129,None,50941692.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5518,CAS_7723-14-0,2009,2009-01--2009-12,FRDR84,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5520,CAS_14265-44-2,2009,2009-01--2009-12,FRHR11A,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5532,CAS_7723-14-0,2009,2009-01--2009-12,FRDR530,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5545,CAS_7723-14-0,2009,2009-01--2009-12,FRDR609,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5594,CAS_14265-44-2,2008,2008-01--2008-12,FRGR0927,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5599,CAS_7723-14-0,2008,2008-01--2008-12,FRGR0927,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5603,CAS_14265-44-2,2008,2008-01--2008-12,FRGR0560,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5612,CAS_14265-44-2,2008,2008-01--2008-12,FRGR0550,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5627,CAS_14265-44-2,2008,2008-01--2008-12,UKSC010391,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
5628,CAS_14265-44-2,2008,2008-01--2008-12,UKSC010427,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
5629,CAS_14265-44-2,2008,2008-01--2008-12,UKSC010469,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
5630,CAS_14265-44-2,2008,2008-01--2008-12,UKSC020211,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
5631,CAS_14265-44-2,2008,2008-01--2008-12,UKSC023127,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
5632,CAS_14265-44-2,2008,2008-01--2008-12,UKSC023319,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
5633,CAS_14265-44-2,2008,2008-01--2008-12,UKSC023222,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
5636,CAS_7723-14-0,2008,2008-01--2008-12,FRGR0539A,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5686,CAS_14265-44-2,2008,2008-01--2008-12,FRFR192,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5687,CAS_7723-14-0,2008,2008-01--2008-12,FRFR192,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5697,CAS_7723-14-0,2008,2008-01--2008-12,FRGR0069B,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5706,CAS_14265-44-2,2008,2008-01--2008-12,FRFR201,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5710,CAS_14265-44-2,2008,2008-01--2008-12,FRFR215B,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5711,CAS_7723-14-0,2008,2008-01--2008-12,FRFR189,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5727,CAS_14265-44-2,2008,2008-01--2008-12,RSVMOR_1,Serbia,530038.0,0.0,21.867101881239144,37.62,5.44,1.38,16.72,13.57,12.73,0.4,12.14,0.76
5739,CAS_7723-14-0,2008,2008-01--2008-12,FRFR315A,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5760,CAS_7723-14-0,2009,2009-01--2009-12,FRFR280,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5774,CAS_14265-44-2,2009,2009-01--2009-12,FRAR49,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5781,CAS_14265-44-2,2009,2009-01--2009-12,FRGR0564B,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5815,CAS_14265-44-2,2007,2007-01--2007-12,UKSC023155,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
5816,CAS_14265-44-2,2007,2007-01--2007-12,UKSC005215,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
5817,CAS_14265-44-2,2007,2007-01--2007-12,UKSC010589,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
5818,CAS_14265-44-2,2007,2007-01--2007-12,UKSC010562,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
5823,CAS_14265-44-2,2009,2009-01--2009-12,ES11733,Spain,50941692.0,0.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
5835,CAS_14265-44-2,2012,2012-01--2012-12,LT410108502,Lithuania,1538269.0,0.0,11.09062194824219,40.4,8.65,2.75,44.05,10.05,10.15,0.0,0.0,22.92
5886,CAS_7723-14-0,2008,2008-01--2008-12,FRGR0455B,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5888,CAS_7723-14-0,2008,2008-01--2008-12,FRDR2023,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5894,CAS_14265-44-2,2008,2008-01--2008-12,FRGR0513,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5895,CAS_7723-14-0,2008,2008-01--2008-12,FRGR0513,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5896,CAS_14265-44-2,2008,2008-01--2008-12,FRGR0513,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5899,CAS_7723-14-0,2008,2008-01--2008-12,FRDR2001A,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5906,CAS_7723-14-0,2008,2008-01--2008-12,FRDR524,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5910,CAS_14265-44-2,2008,2008-01--2008-12,FRDR2001A,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5913,CAS_14265-44-2,2008,2008-01--2008-12,FRDR524,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5918,CAS_14265-44-2,2008,2008-01--2008-12,UKSC023065,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
5927,CAS_7723-14-0,2008,2008-01--2008-12,FRDR530,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5931,CAS_7723-14-0,2008,2008-01--2008-12,FRDR530,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5959,CAS_7723-14-0,2009,2009-01--2009-12,DERW_DENI_26044,Germany,22635423.0,0.0,0.0,30.0,10.0,1.4,17.7,24.0,13.0,4.0,0.0,47.83
5962,CAS_7723-14-0,2009,2009-01--2009-12,DERW_DENW282_22_49,Netherlands,10307692.0,0.0,0.0,35.0,5.4,4.3,20.24,21.0,14.0,0.0,0.0,24.61
5983,CAS_14265-44-2,2006,2006-01--2006-12,UKSC006301,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
5985,CAS_14265-44-2,2006,2006-01--2006-12,UKSC003904,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
5986,CAS_14265-44-2,2006,2006-01--2006-12,UKSC005953,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
5987,CAS_14265-44-2,2006,2006-01--2006-12,UKSC006586,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
5988,CAS_14265-44-2,2006,2006-01--2006-12,UKSC006836,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
5989,CAS_14265-44-2,2006,2006-01--2006-12,UKSC005010,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
5990,CAS_14265-44-2,2006,2006-01--2006-12,UKSC010394,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
5991,CAS_14265-44-2,2006,2006-01--2006-12,UKSC010040,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
5992,CAS_14265-44-2,2006,2006-01--2006-12,UKSC010060,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
5993,CAS_14265-44-2,2006,2006-01--2006-12,UKSC010153,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
5994,CAS_14265-44-2,2006,2006-01--2006-12,UKSC010379,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
5995,CAS_14265-44-2,2006,2006-01--2006-12,UKSC010383,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
5997,CAS_14265-44-2,2008,2008-01--2008-12,FRFR614,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
6001,CAS_7723-14-0,2008,2008-01--2008-12,FRDR277A,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
6026,CAS_7723-14-0,2008,2008-01--2008-12,FRFR611,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
6031,CAS_7723-14-0,2008,2008-01--2008-12,FRAR53,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
6036,CAS_14265-44-2,2008,2008-01--2008-12,FRAR66,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
6044,CAS_14265-44-2,2008,2008-01--2008-12,FRDR213,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
6062,CAS_7723-14-0,2008,2008-01--2008-12,FRFR211,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
6070,CAS_14265-44-2,2008,2008-01--2008-12,FRFR296A,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
6078,CAS_14265-44-2,2008,2008-01--2008-12,FRDR251,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
6079,CAS_7723-14-0,2008,2008-01--2008-12,FRDR213,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
6085,CAS_7723-14-0,2008,2008-01--2008-12,FRDR250B,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
6092,CAS_7723-14-0,2009,2009-01--2009-12,FRGR0003C,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
6110,CAS_7723-14-0,2009,2009-01--2009-12,FRGR0543,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
6128,CAS_14265-44-2,2009,2009-01--2009-12,FRAR08,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
6153,CAS_14265-44-2,2009,2009-01--2009-12,FRAR14,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
6188,CAS_14265-44-2,2007,2007-01--2007-12,UKSC020093,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
6189,CAS_14265-44-2,2007,2007-01--2007-12,UKSC020637,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
6190,CAS_14265-44-2,2007,2007-01--2007-12,UKSC020642,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
6191,CAS_14265-44-2,2007,2007-01--2007-12,UKSC023096,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
6192,CAS_14265-44-2,2007,2007-01--2007-12,UKSC023032,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
6193,CAS_14265-44-2,2007,2007-01--2007-12,UKSC023346,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
6194,CAS_14265-44-2,2007,2007-01--2007-12,UKSC023295,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
6195,CAS_14265-44-2,2007,2007-01--2007-12,UKSC023265,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
6196,CAS_14265-44-2,2007,2007-01--2007-12,UKSC023224,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
6197,CAS_14265-44-2,2007,2007-01--2007-12,UKSC005290,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
6198,CAS_14265-44-2,2007,2007-01--2007-12,UKSC010521,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
6199,CAS_14265-44-2,2007,2007-01--2007-12,UKSC010001,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
6200,CAS_14265-44-2,2007,2007-01--2007-12,UKSC020412,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
6201,CAS_14265-44-2,2007,2007-01--2007-12,UKSC020330,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
6202,CAS_14265-44-2,2007,2007-01--2007-12,UKSC020110,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
6203,CAS_14265-44-2,2007,2007-01--2007-12,UKSC023066,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
6204,CAS_14265-44-2,2007,2007-01--2007-12,UKSC023127,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
6205,CAS_14265-44-2,2007,2007-01--2007-12,UKSC023221,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
6206,CAS_14265-44-2,2007,2007-01--2007-12,UKSC023187,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
6207,CAS_14265-44-2,2007,2007-01--2007-12,UKSC020496,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
6208,CAS_14265-44-2,2007,2007-01--2007-12,UKSC005105,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
6230,CAS_7723-14-0,2009,2009-01--2009-12,BEVL05_9,Belgium,6496961.0,0.0,0.0,14.18,3.1,1.91,40.14,18.38,13.94,0.0,5.84,34.303000000000004
6258,CAS_14265-44-2,2009,2009-01--2009-12,BEVL08_164,Belgium,6496961.0,0.0,0.0,14.18,3.1,1.91,40.14,18.38,13.94,0.0,5.84,34.303000000000004
6261,CAS_7723-14-0,2009,2009-01--2009-12,DERW_DENW3132_0_4,Germany,22635423.0,0.0,0.0,30.0,10.0,1.4,17.7,24.0,13.0,4.0,0.0,47.83
6272,CAS_14265-44-2,2009,2009-01--2009-12,DERW_DENW46_0_13,Germany,22635423.0,0.0,0.0,30.0,10.0,1.4,17.7,24.0,13.0,4.0,0.0,47.83
6286,CAS_7723-14-0,2009,2009-01--2009-12,BERW06_SN10R,Belgium,6496961.0,0.0,0.0,14.18,3.1,1.91,40.14,18.38,13.94,0.0,5.84,34.303000000000004
6287,CAS_7723-14-0,2009,2009-01--2009-12,BERW06_OS01R,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
6296,CAS_7723-14-0,2009,2009-01--2009-12,ES020MSPF000000505,Spain,50941692.0,0.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
6299,CAS_7723-14-0,2009,2009-01--2009-12,ES020MSPF000000454,Spain,50941692.0,0.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
6301,CAS_7723-14-0,2009,2009-01--2009-12,ES020MSPF000000440,Spain,50941692.0,0.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
6310,CAS_7723-14-0,2009,2009-01--2009-12,BEVL05_151,Belgium,6496961.0,0.0,0.0,14.18,3.1,1.91,40.14,18.38,13.94,0.0,5.84,34.303000000000004
6348,CAS_7723-14-0,2008,2008-01--2008-12,UKSC006555,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
6349,CAS_7723-14-0,2008,2008-01--2008-12,UKSC006839,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
6350,CAS_7723-14-0,2008,2008-01--2008-12,UKSC010073,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
6351,CAS_7723-14-0,2008,2008-01--2008-12,UKSC010030,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
6352,CAS_7723-14-0,2008,2008-01--2008-12,UKSC010321,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
6353,CAS_7723-14-0,2008,2008-01--2008-12,UKSC010757,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
6354,CAS_7723-14-0,2008,2008-01--2008-12,UKSC010469,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
6355,CAS_7723-14-0,2008,2008-01--2008-12,UKSC010220,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
6357,CAS_7723-14-0,2009,2009-01--2009-12,BG3AR400R074,Bulgaria,4836884.0,0.0,10.928049723307288,24.35,5.83,1.98,17.93,14.18,12.15,1.96,19.18,19.03
6384,CAS_7723-14-0,2009,2009-01--2009-12,BG3MA500R104,Bulgaria,4836884.0,0.0,10.928049723307288,24.35,5.83,1.98,17.93,14.18,12.15,1.96,19.18,19.03
6386,CAS_14265-44-2,2009,2009-01--2009-12,BG3MA900R184,Bulgaria,4836884.0,0.0,10.928049723307288,24.35,5.83,1.98,17.93,14.18,12.15,1.96,19.18,19.03
6394,CAS_14265-44-2,2009,2009-01--2009-12,ES064MSPF000206680,Spain,50941692.0,0.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
6395,CAS_7723-14-0,2009,2009-01--2009-12,ES064MSPF000134890,Spain,50941692.0,0.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
6397,CAS_7723-14-0,2009,2009-01--2009-12,ES13503,Spain,50941692.0,0.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
6399,CAS_14265-44-2,2009,2009-01--2009-12,BG3AR100R002,Bulgaria,4836884.0,0.0,10.928049723307288,24.35,5.83,1.98,17.93,14.18,12.15,1.96,19.18,19.03
6406,CAS_7723-14-0,2009,2009-01--2009-12,BG3MA700R143,Bulgaria,4836884.0,0.0,10.928049723307288,24.35,5.83,1.98,17.93,14.18,12.15,1.96,19.18,19.03
6428,CAS_14265-44-2,2009,2009-01--2009-12,FRHR264A,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
6438,CAS_7723-14-0,2008,2008-06--2008-08,FI14_751_Y01,Finland,2147000.0,0.0,0.0,35.88,9.24,1.7,13.13,37.83,1.45,0.0,0.0,28.12
6441,CAS_7723-14-0,2008,2008-06--2008-08,FI04_471_Y01,Finland,2147000.0,0.0,0.0,35.88,9.24,1.7,13.13,37.83,1.45,0.0,0.0,28.12
6449,CAS_14265-44-2,2008,2008-01--2008-12,FRGR0563,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
6456,CAS_7723-14-0,2010,2010-01--2010-12,IT020792VA,Italy,39653776.0,0.0,22.000449286566845,34.4,7.6,4.3,15.4,22.8,11.6,0.0,0.0,25.9
6464,CAS_14265-44-2,2008,2008-01--2008-12,UKGB107041012420,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
6467,CAS_14265-44-2,2008,2008-01--2008-12,UKGB107041012641,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
6468,CAS_14265-44-2,2007,2007-01--2007-12,UKGB107041012740,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
6488,CAS_7723-14-0,2008,2008-01--2008-12,UKSC006301,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
6489,CAS_7723-14-0,2008,2008-01--2008-12,UKSC004402,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
6490,CAS_7723-14-0,2008,2008-01--2008-12,UKSC003904,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
6491,CAS_7723-14-0,2008,2008-01--2008-12,UKSC005953,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
6492,CAS_7723-14-0,2008,2008-01--2008-12,UKSC006498,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
6493,CAS_7723-14-0,2008,2008-01--2008-12,UKSC006836,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
6494,CAS_7723-14-0,2008,2008-01--2008-12,UKSC005010,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
6497,CAS_14265-44-2,2009,2009-01--2009-12,ES100MSPFH1050010,Spain,50941692.0,0.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
6507,CAS_14265-44-2,2009,2009-01--2009-12,DERW_DEBW_50-04,Germany,22635423.0,0.0,0.0,30.0,10.0,1.4,17.7,24.0,13.0,4.0,0.0,47.83
6515,CAS_7723-14-0,2009,2009-01--2009-12,DERW_DEBY_5_F021,Germany,22635423.0,0.0,0.0,30.0,10.0,1.4,17.7,24.0,13.0,4.0,0.0,47.83
6533,CAS_7723-14-0,2008,2008-01--2008-12,FRHR38,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
6540,CAS_7723-14-0,2008,2008-01--2008-12,FRHR54,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
6542,CAS_14265-44-2,2008,2008-01--2008-12,FRHR57,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
6552,CAS_7723-14-0,2008,2008-01--2008-12,FRHR14,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
